,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
165,1,3,male,-1.8151499275591494,0,2,0.16081894248425108,S,Third,child,False,S,yes,False,2
166,1,1,female,0.12387246031513621,0,1,2.7005561193221754,S,First,woman,False,S,yes,False,1
167,0,3,female,1.5572066701334577,1,4,0.7041274756004134,S,Third,woman,False,S,no,False,5
168,0,1,male,0.12387246031513621,0,0,0.5586312921557464,S,First,man,True,S,no,True,0
169,0,3,male,-0.03529505655471765,0,0,2.8107501401811796,S,Third,man,True,S,no,True,0
171,0,3,male,-2.2835327883497896,4,1,0.7943719438129285,Q,Third,child,False,Q,no,False,5
175,0,3,male,-0.9720607781359979,1,1,-0.772625635333819,S,Third,man,True,S,no,False,2
176,0,3,male,0.12387246031513621,3,1,0.5248688107012192,S,Third,man,True,S,no,False,4
177,0,1,female,2.0255895309240977,0,0,0.7639835004352448,C,First,woman,False,C,no,True,0
178,0,2,male,0.15205808776153817,0,0,-0.39353993367834134,S,Second,man,True,S,no,True,0
179,0,3,male,0.7141175207103057,0,0,-1.3512363310356441,S,Third,man,True,S,no,True,0
181,0,2,male,0.12387246031513621,0,0,-0.24251857871045898,C,Second,man,True,C,no,True,0
182,0,3,male,-1.8151499275591494,4,2,0.9610479514299205,S,Third,child,False,S,no,False,6
184,1,3,female,-2.2835327883497896,0,2,0.27132237294855527,S,Third,child,False,S,yes,False,2
185,0,1,male,0.12387246031513621,0,0,2.332211351107828,S,First,man,True,S,no,True,0
186,1,3,female,0.12387246031513621,1,0,-0.20936754957116785,Q,Third,woman,False,Q,yes,False,1
187,1,1,male,1.5572066701334577,0,0,0.6046743881825396,S,First,man,True,S,yes,True,0
188,0,3,male,1.088823809342818,1,1,-0.20936754957116785,Q,Third,man,True,Q,no,False,2
189,0,3,male,0.7141175207103057,0,0,-0.7695610068622756,S,Third,man,True,S,no,True,0
190,1,2,female,0.339411232077794,0,0,-0.39353993367834134,S,Second,woman,False,S,yes,True,0
191,0,2,male,-0.8783842059778697,0,0,-0.39353993367834134,S,Second,man,True,S,no,True,0
192,1,3,female,-0.8783842059778697,1,0,-0.772625635333819,S,Third,woman,False,S,yes,False,1
193,1,2,male,-2.3772093605079174,1,1,0.5641564636789616,S,Second,child,False,S,yes,False,2
194,1,1,female,1.46353009797533,0,0,0.6909259991076113,C,First,woman,False,C,yes,True,0
197,0,3,male,1.2761769536590737,0,1,-0.7321077108302408,S,Third,man,True,S,no,False,1
199,0,2,female,-0.41000134518722986,0,0,-0.39353993367834134,S,Second,woman,False,S,no,True,0
200,0,3,male,-0.03529505655471765,0,0,-0.6513812714283845,S,Third,man,True,S,no,True,0
202,0,3,male,0.5267643763940498,0,0,-0.8726975419622929,S,Third,man,True,S,no,True,0
203,0,3,male,1.6040449562125216,0,0,-0.8189781409659125,C,Third,man,True,C,no,True,0
204,1,3,male,-0.9720607781359979,0,0,-0.7582012542105451,S,Third,man,True,S,yes,True,0
206,0,3,male,0.339411232077794,1,0,-0.18358341579616339,S,Third,man,True,S,no,False,1
207,1,3,male,-0.222648200870974,0,0,0.0328191355297656,C,Third,man,True,C,yes,True,0
208,1,3,female,-1.1594139224522537,0,0,-0.780301940303406,Q,Third,woman,False,Q,yes,True,0
209,1,1,male,1.088823809342818,0,0,0.9325012318933086,C,First,man,True,C,yes,True,0
210,0,3,male,-0.41000134518722986,0,0,-0.8318702078534147,S,Third,man,True,S,no,True,0
211,1,2,female,0.620440948552178,0,0,0.19581169546461424,S,Second,woman,False,S,yes,True,0
212,0,3,male,-0.5973544895034857,0,0,-0.8171364171248408,S,Third,man,True,S,no,True,0
214,0,3,male,0.12387246031513621,1,0,-0.780301940303406,Q,Third,man,True,Q,no,False,1
216,1,3,female,-0.12897162871284584,0,0,-0.7674098734159038,S,Third,woman,False,S,yes,True,0
217,0,2,male,1.2761769536590737,1,0,0.6378254173218308,S,Second,man,True,S,no,False,1
219,0,2,male,0.15205808776153817,0,0,-0.577712317785515,S,Second,man,True,S,no,True,0
220,1,3,male,-1.1594139224522537,0,0,-0.7582012542105451,S,Third,man,True,S,yes,True,0
221,0,2,male,-0.12897162871284584,0,0,-0.39353993367834134,S,Second,man,True,S,no,True,0
222,0,3,male,2.1192661030822255,0,0,-0.7582012542105451,S,Third,man,True,S,no,True,0
225,0,3,male,-0.5973544895034857,0,0,-0.6624316144748149,S,Third,man,True,S,no,True,0
226,1,2,male,-0.8783842059778697,0,0,-0.577712317785515,S,Second,man,True,S,yes,True,0
227,0,3,male,-0.7378693477406777,0,0,-0.8171364171248408,S,Third,man,True,S,no,True,0
228,0,2,male,-0.9720607781359979,0,0,-0.39353993367834134,S,Second,man,True,S,no,True,0
229,0,3,female,0.12387246031513621,3,1,0.5248688107012192,S,Third,woman,False,S,no,False,4
231,0,3,male,0.05838151560341,0,0,-0.7784602164623343,S,Third,man,True,S,no,True,0
233,1,3,female,-2.1898562161916617,4,2,0.9610479514299205,S,Third,child,False,S,yes,False,6
234,0,2,male,-0.41000134518722986,0,0,-0.577712317785515,S,Second,man,True,S,no,True,0
235,0,3,female,0.12387246031513621,0,0,-0.7950357310319799,S,Third,woman,False,S,no,True,0
236,0,2,male,1.46353009797533,1,0,0.5641564636789616,S,Second,man,True,S,no,False,1
237,1,2,female,-1.9088264997172775,0,2,0.582573702089679,S,Second,child,False,S,yes,False,2
238,0,2,male,-0.8783842059778697,0,0,-0.577712317785515,S,Second,man,True,S,no,True,0
239,0,2,male,0.43308780423592214,0,0,-0.44694992506942166,S,Second,man,True,S,no,True,0
240,0,3,female,0.12387246031513621,1,0,-0.28641054129088067,C,Third,woman,False,C,no,False,1
242,0,2,male,0.05838151560341,0,0,-0.577712317785515,S,Second,man,True,S,no,True,0
243,0,3,male,-0.5973544895034857,0,0,-0.8263450363301994,S,Third,man,True,S,no,True,0
244,0,3,male,0.15205808776153817,0,0,-0.8189781409659125,C,Third,man,True,C,no,True,0
246,0,3,female,-0.31632477302910195,0,0,-0.7784602164623343,S,Third,woman,False,S,no,True,0
247,1,2,female,-0.41000134518722986,0,2,-0.28303650321403717,S,Second,woman,False,S,yes,False,2
248,1,1,male,0.8077940928684338,1,1,2.520376592502445,S,First,man,True,S,yes,False,2
249,0,2,male,2.4002958195566095,1,0,0.5641564636789616,S,Second,man,True,S,no,False,1
250,0,3,male,0.12387246031513621,0,0,-0.8171364171248408,S,Third,man,True,S,no,True,0
251,0,3,female,0.05838151560341,1,1,-0.5804749035471226,S,Third,woman,False,S,no,False,2
253,0,3,male,0.15205808776153817,1,0,-0.16516617738544598,S,Third,man,True,S,no,False,1
254,0,3,female,1.182500381500946,0,2,0.13779739447085435,S,Third,woman,False,S,no,False,2
255,1,3,female,0.05838151560341,0,2,-0.2280941975871853,C,Third,woman,False,C,yes,False,2
259,1,2,female,2.0255895309240977,0,1,0.5641564636789616,S,Second,woman,False,S,yes,False,1
261,1,3,male,-2.3772093605079174,4,2,0.9610479514299205,S,Third,child,False,S,yes,False,6
263,0,1,male,1.088823809342818,0,0,-1.3512363310356441,S,First,man,True,S,no,True,0
264,0,3,female,0.12387246031513621,0,0,-0.780301940303406,Q,Third,woman,False,Q,no,True,0
265,0,2,male,0.7141175207103057,0,0,-0.577712317785515,S,Second,man,True,S,no,True,0
266,0,3,male,-1.1594139224522537,4,1,1.572500266665737,S,Third,man,True,S,no,False,5
267,1,3,male,-0.31632477302910195,1,0,-0.7784602164623343,S,Third,man,True,S,yes,False,1
270,0,1,male,0.12387246031513621,0,0,0.9325012318933086,S,First,man,True,S,no,True,0
271,1,3,male,-0.31632477302910195,0,0,-1.3512363310356441,S,Third,man,True,S,yes,True,0
272,1,2,female,1.182500381500946,0,1,0.08530826500031011,S,Second,woman,False,S,yes,False,1
273,0,1,male,0.8077940928684338,0,1,0.8367315921575783,C,First,man,True,C,no,False,1
276,0,3,female,1.5572066701334577,0,0,-0.780301940303406,S,Third,woman,False,S,no,True,0
277,0,2,male,0.12387246031513621,0,0,-1.3512363310356441,S,Second,man,True,S,no,True,0
278,0,3,male,-2.0025030718754055,4,1,0.7943719438129285,Q,Third,child,False,Q,no,False,5
279,1,3,female,0.620440948552178,1,1,0.14055998023246205,S,Third,woman,False,S,yes,False,2
281,0,3,male,-0.03529505655471765,0,0,-0.772625635333819,S,Third,man,True,S,no,True,0
282,0,3,male,-1.1594139224522537,0,0,-0.6513812714283845,S,Third,man,True,S,no,True,0
283,1,3,male,-0.8783842059778697,0,0,-0.7582012542105451,S,Third,man,True,S,yes,True,0
284,0,1,male,0.12387246031513621,0,0,0.5641564636789616,S,First,man,True,S,no,True,0
285,0,3,male,0.43308780423592214,0,0,-0.7130790201042877,C,Third,man,True,C,no,True,0
286,1,3,male,0.15205808776153817,0,0,-0.6513812714283845,S,Third,man,True,S,yes,True,0
287,0,3,male,-0.5973544895034857,0,0,-0.7695610068622756,S,Third,man,True,S,no,True,0
288,1,2,male,1.2761769536590737,0,0,-0.39353993367834134,S,Second,man,True,S,yes,True,0
289,1,3,female,-0.5973544895034857,0,0,-0.780301940303406,Q,Third,woman,False,Q,yes,True,0
292,0,2,male,0.7141175207103057,0,0,-0.40274855288370004,C,Second,man,True,C,no,True,0
293,0,3,female,-0.41000134518722986,0,0,-0.6992660912962496,S,Third,woman,False,S,no,True,0
294,0,3,male,-0.41000134518722986,0,0,-0.7695610068622756,S,Third,man,True,S,no,True,0
296,0,3,male,-0.45683963126629396,0,0,-0.8186687313606125,C,Third,man,True,C,no,True,0
298,1,1,male,0.12387246031513621,0,0,0.895666755071874,S,First,man,True,S,yes,True,0
301,1,3,male,0.12387246031513621,2,0,0.36156684116107035,Q,Third,man,True,Q,yes,False,2
302,0,3,male,-0.8783842059778697,0,0,-1.3512363310356441,S,Third,man,True,S,no,True,0
303,1,2,female,0.12387246031513621,0,0,-0.4414247535462065,Q,Second,woman,False,Q,yes,True,0
308,0,2,male,0.15205808776153817,1,0,0.4168185563932226,C,Second,man,True,C,no,False,1
309,1,1,female,0.15205808776153817,0,0,2.842678264689999,C,First,woman,False,C,yes,True,0
312,0,2,female,-0.222648200870974,1,1,0.5641564636789616,S,Second,woman,False,S,no,False,2
314,0,2,male,1.369853525817202,1,1,0.582573702089679,S,Second,man,True,S,no,False,2
315,1,3,female,-0.222648200870974,0,0,-0.772625635333819,S,Third,woman,False,S,yes,True,0
316,1,2,female,-0.41000134518722986,1,0,0.5641564636789616,S,Second,woman,False,S,yes,False,1
317,0,2,male,2.4002958195566095,0,0,-0.319870980035472,S,Second,man,True,S,no,True,0
321,0,3,male,-0.12897162871284584,0,0,-0.7695610068622756,S,Third,man,True,S,no,True,0
322,1,2,female,0.15205808776153817,0,0,-0.4414247535462065,Q,Second,woman,False,Q,yes,True,0
323,1,2,female,-0.5973544895034857,1,1,0.7851633246075699,S,Second,woman,False,S,yes,False,2
327,1,2,female,0.7141175207103057,0,0,-0.39353993367834134,S,Second,woman,False,S,yes,True,0
328,1,3,female,0.2457346599196658,1,1,0.16081894248425108,S,Third,woman,False,S,yes,False,2
329,1,1,female,-1.1594139224522537,0,1,2.920030666015012,C,First,woman,False,C,yes,False,1
330,1,3,female,0.12387246031513621,2,0,0.36156684116107035,Q,Third,woman,False,Q,yes,False,2
331,0,1,male,1.6040449562125216,0,0,0.7483288477861351,S,First,man,True,S,no,True,0
333,0,3,male,-1.1594139224522537,2,0,-0.02519516546399406,S,Third,man,True,S,no,False,2
338,1,3,male,1.5572066701334577,0,0,-0.7582012542105451,S,Third,man,True,S,yes,True,0
339,0,1,male,1.5572066701334577,0,0,1.2640115232862215,S,First,man,True,S,no,True,0
342,0,2,male,-0.03529505655471765,0,0,-0.39353993367834134,S,Second,man,True,S,no,True,0
344,0,2,male,0.7141175207103057,0,0,-0.39353993367834134,S,Second,man,True,S,no,True,0
345,1,2,female,-0.41000134518722986,0,0,-0.39353993367834134,S,Second,woman,False,S,yes,True,0
346,1,2,female,1.088823809342818,0,0,-0.39353993367834134,S,Second,woman,False,S,yes,True,0
347,1,3,female,0.12387246031513621,1,0,-0.16516617738544598,S,Third,woman,False,S,yes,False,1
348,1,3,male,-2.3772093605079174,1,1,-0.17989996811401984,S,Third,child,False,S,yes,False,2
349,0,3,male,1.2761769536590737,0,0,-0.7130790201042877,S,Third,man,True,S,no,True,0
350,0,3,male,-0.5036779173453578,0,0,-0.6716402336801737,S,Third,man,True,S,no,True,0
351,0,1,male,0.12387246031513621,0,0,1.2271770464647866,S,First,man,True,S,no,True,0
352,0,3,male,-1.2530904946103816,1,1,-0.8186687313606125,C,Third,child,False,C,no,False,2
353,0,3,male,-0.31632477302910195,1,0,-0.039928956192567935,S,Third,man,True,S,no,False,1
356,1,1,female,-0.5973544895034857,0,1,2.7005561193221754,S,First,woman,False,S,yes,False,1
357,0,2,female,0.9014706650265619,0,0,-0.39353993367834134,S,Second,woman,False,S,no,True,0
360,0,3,male,1.088823809342818,1,4,0.7041274756004134,S,Third,man,True,S,no,False,5
361,0,2,male,0.05838151560341,1,0,0.6909259991076113,C,Second,man,True,C,no,False,1
362,0,3,female,1.5572066701334577,0,1,-0.28641054129088067,C,Third,woman,False,C,no,False,1
363,0,3,male,0.620440948552178,0,0,-0.8318702078534147,S,Third,man,True,S,no,True,0
365,0,3,male,0.15205808776153817,0,0,-0.8171364171248408,S,Third,man,True,S,no,True,0
367,1,3,female,0.12387246031513621,0,0,-0.8186687313606125,C,Third,woman,False,C,yes,True,0
370,1,1,male,-0.31632477302910195,1,0,2.7330956961462305,C,First,man,True,C,yes,False,1
371,0,3,male,-0.9720607781359979,1,0,-0.8726975419622929,S,Third,man,True,S,no,False,1
372,0,3,male,-0.8783842059778697,0,0,-0.7582012542105451,S,Third,man,True,S,no,True,0
374,0,3,female,-2.3772093605079174,3,1,0.2013368669878294,S,Third,child,False,S,no,False,4
376,1,3,female,-0.5973544895034857,0,0,-0.8171364171248408,S,Third,woman,False,S,yes,True,0
378,0,3,male,-0.7847076338197417,0,0,-1.0556396545436304,C,Third,man,True,C,no,True,0
379,0,3,male,-0.8783842059778697,0,0,-0.7784602164623343,S,Third,man,True,S,no,True,0
382,0,3,male,0.339411232077794,0,0,-0.7674098734159038,S,Third,man,True,S,no,True,0
383,1,1,female,0.620440948552178,1,0,2.479549258393567,S,First,woman,False,S,yes,False,1
388,0,3,male,0.12387246031513621,0,0,-0.7818342545391778,Q,Third,man,True,Q,no,True,0
389,1,2,female,-1.0657373502941256,0,0,-0.46720888732121085,C,Second,woman,False,C,yes,True,0
391,1,3,male,-0.6910310616616139,0,0,-0.7769279022265626,S,Third,man,True,S,yes,True,0
392,0,3,male,-0.03529505655471765,2,0,-0.7674098734159038,S,Third,man,True,S,no,False,2
394,1,3,female,-0.41000134518722986,0,2,-0.12096480519972434,S,Third,woman,False,S,yes,False,2
395,0,3,male,-0.5973544895034857,0,0,-0.7769279022265626,S,Third,man,True,S,no,True,0
396,0,3,female,0.2457346599196658,0,0,-0.772625635333819,S,Third,woman,False,S,no,True,0
397,0,2,male,1.650883242291586,0,0,0.5641564636789616,S,Second,man,True,S,no,True,0
398,0,2,male,-0.5036779173453578,0,0,-0.577712317785515,S,Second,man,True,S,no,True,0
399,1,2,female,-0.03529505655471765,0,0,-0.4193240674533457,S,Second,woman,False,S,yes,True,0
400,1,3,male,0.9951472371846896,0,0,-0.7674098734159038,S,Third,man,True,S,yes,True,0
